Date,Temperature,Humidity,Pressure,Wind Speed,Rainfall,Weather Condition,Year,Month,Day,DayOfYear,Week,DayOfWeek,IsWeekend,Weather_Condition_Code,Dew_Point,Sin_DayOfYear,Cos_DayOfYear,Temp_Lag1,Temp_Lag7,Temp_Rolling7_Mean,Temp_Rolling30_Mean
2020-01-01,9.93,71.15,1018.18,7.26,0.0,Clear,2020,1,1,1,1,2,0,0,4.160000000000001,0.017201575418260506,0.9998520419557735,9.93,9.93,9.93,9.93
2020-01-02,7.84,97.62,1010.87,14.8,3.3074999999999997,Rainy,2020,1,2,2,1,3,0,3,7.364000000000001,0.03439806061360801,0.9994082116062598,9.93,9.93,8.885,8.885
2020-01-03,10.31,80.8,1016.35,21.8,0.0,Cloudy,2020,1,3,3,1,4,0,1,6.47,0.051584366869408364,0.9986686402879997,7.84,9.93,9.36,9.36
2020-01-04,13.07,80.04,1017.22,11.05,0.0,Cloudy,2020,1,4,4,1,5,1,1,9.078000000000001,0.06875540848113941,0.9976335468520451,10.31,9.93,10.2875,10.2875
2020-01-05,7.41,90.9,1015.93,9.37,0.0,Foggy,2020,1,5,5,1,6,1,2,5.590000000000002,0.08590610426133272,0.9963032375991965,13.07,9.93,9.712,9.712
2020-01-06,7.38,86.17,1003.37,9.18,3.3074999999999997,Rainy,2020,1,6,6,2,0,0,3,4.614000000000001,0.10303137904317879,0.9946781061893646,7.41,9.93,9.323333333333332,9.323333333333332
2020-01-07,13.15,89.33,1015.99,3.09,0.0,Foggy,2020,1,7,7,2,1,0,2,11.016,0.1201261651823505,0.9927586335250793,7.38,9.93,9.870000000000001,9.870000000000001
2020-01-08,10.52,84.51,1028.7,12.62,0.0,Cloudy,2020,1,8,8,2,2,0,1,7.422000000000001,0.13718540405660057,0.9905453876091833,13.15,9.93,9.954285714285716,9.95125
2020-01-09,6.54,78.3,1013.86,9.59,0.0,Cloudy,2020,1,9,9,2,3,0,1,2.1999999999999993,0.1542040475626894,0.988039023376751,10.52,7.84,9.768571428571429,9.572222222222223
2020-01-10,9.77,85.78,1011.17,10.94,3.3074999999999997,Rainy,2020,1,10,10,2,4,0,3,6.926,0.17117705961019986,0.985240282501282,6.54,10.31,9.691428571428572,9.592
2020-01-11,6.53,72.99,1018.26,6.55,0.0,Clear,2020,1,11,11,2,5,1,0,1.1279999999999992,0.18809941761179758,0.9821499931752291,9.77,13.07,8.757142857142856,9.313636363636364
2020-01-12,6.52,85.52,1017.9,7.59,0.0,Cloudy,2020,1,12,12,2,6,1,1,3.6239999999999988,0.20496611396949532,0.9787690698649216,6.53,7.41,8.629999999999999,9.080833333333333
2020-01-13,8.78,82.52,1022.84,7.5,0.0,Cloudy,2020,1,13,13,3,0,0,1,5.283999999999999,0.22177215755648186,0.975098513039961,6.52,7.38,8.83,9.057692307692308
2020-01-14,1.88,85.6,1009.17,14.29,3.3074999999999997,Thunderstorm,2020,1,14,14,3,1,0,5,-1.0000000000000013,0.23851257519407648,0.9711394088771653,8.78,13.15,7.219999999999999,8.545
2020-01-15,2.48,85.98,1021.02,7.61,0.0,Cloudy,2020,1,15,15,3,2,0,1,-0.3239999999999994,0.2551824131233728,0.9668929289391521,1.88,10.52,6.071428571428571,8.140666666666666
